Title,EAN,Brand,Sale Price,Units Sold,Amazon Fee,Buy Box Price,Category,Rating,Review Count
Premium Wireless Earbuds Pro X1,8.90E+09,AudioTech,129.99,450,19.49,124.99,Electronics,4.7,892
,8.90E+11,SafeGuard,89.99,320,13.49,84.99,Electronics,4.5,567
Organic Green Tea Set,8.60E+12,TeaHaven,34.99,780,5.25,32.99,Food & Beverage,4.8,1243
Yoga Mat Premium,8.01E+11,,45.99,290,6.89,42.99,Sports,4.6,456
LED Desk Lamp with USB,1.23E+09,LightPro,,560,5.99,37.99,Home & Office,4.4,678
Natural Face Moisturizer,8.90E+05,PureGlow,29.99,890,4.49,27.99,Beauty,4.7,1567
Stainless Steel Water Bottle,8.90E+03,EcoLife,24.99,670,3.75,22.99,Sports,4.5,892
Wireless Gaming Mouse,3.00E+07,GameTech,59.99,430,8.99,54.99,Electronics,4.6,789
Bamboo Cutting Board Set,8.90E+07,KitchenPro,49.99,340,7.49,46.99,Home & Kitchen,4.8,456
Professional Hair Dryer,8.90E+06,BeautyTech,79.99,280,11.99,74.99,Beauty,4.5,678
Professional  Dryer,8.90E+02,BeautyTech,79.99,280,11.99,74.99,Beauty,4.5,678
