Title,EAN,Brand,Sale Price,Units Sold,Amazon Fee,Buy Box Price,Category,Rating,Review Count,MPN
Premium Wireless Earbuds Pro X1,8.90E+09,EcoLife,129.99,450,19.49,124.99,Electronics,4.7,892,123
,8.90E+11,EcoLife,89.99,320,13.49,84.99,Electronics,4.5,567,1234
Organic Green Tea Set,8.60E+12,EcoLife,34.99,780,5.25,32.99,Food & Beverage,4.8,1243,2345
Yoga Mat Premium,8.01E+11,EcoLife,45.99,290,6.89,42.99,Sports,4.6,456,3456
LED Desk Lamp with USB,1.23E+09,EcoLife,,560,5.99,37.99,Home & Office,4.4,678,4567
Natural Face Moisturizer,8.90E+05,EcoLife,29.99,890,4.49,27.99,Beauty,4.7,1567,5678
Stainless Steel Water Bottle,8.90E+03,EcoLife,24.99,670,3.75,22.99,Sports,4.5,892,6789
Wireless Gaming Mouse,3.00E+07,EcoLife,59.99,430,8.99,54.99,Electronics,4.6,789,7900
Bamboo Cutting Board Set,8.90E+07,EcoLife,49.99,340,7.49,46.99,Home & Kitchen,4.8,456,9011
Professional Hair Dryer,8.90E+06,EcoLife,79.99,280,11.99,74.99,Beauty,4.5,678,10122
Professional  Dryer,8.90E+02,EcoLife,79.99,280,11.99,74.99,Beauty,4.5,678,11233
test,,EcoLife,79.99,280,11.99,74.99,Beauty,4.5,678,
aadfs,qwert,EcoLife,79.99,280,11.99,74.99,Beauty,4.5,678,13455
asdfs,,EcoLife,79.99,280,11.99,74.99,Beauty,4.5,678,test
