EAN,Supplier Name,Cost,MOQ,Lead Time,Payment Terms
"8901234567001","Global Electronics",65.50,50,"7 days","Net 30"
"8901234567001","TechSupply Co",68.75,25,"5 days","Net 45"
"8901234567002","SecureVision Inc",42.25,30,"4 days","Net 30"
"8901234567002","Smart Home Distributors",45.50,20,"6 days","Net 60"
"8901234567003","Organic Imports",15.75,100,"10 days","Net 30"
"8901234567003","Tea Direct",16.50,50,"7 days","Net 45"
"8901234567004","Sports Wholesale",22.50,40,"5 days","Net 30"
"8901234567005","Lightning Solutions",18.25,60,"4 days","Net 30"
"8901234567006","Beauty Supply Co",13.50,75,"6 days","Net 45"
"8901234567007","EcoProducts Ltd",11.25,100,"8 days","Net 30"
"8901234567008","Gaming Gear Direct",28.75,50,"5 days","Net 30"
"8901234567009","Kitchen Essentials",23.50,40,"6 days","Net 45"
"8901234567010","Pro Beauty Supply",38.25,30,"4 days","Net 30"
